name,cnt,location
嘉麟杰服装美学中心,1,"121.437796,31.185819"
土山湾美术馆,1,"121.434484,31.174652"
坤art画廊,1,"121.448872,31.249449"
外滩111艺术空间,1,"121.487876,31.237098"
外滩艺术馆,1,"121.486197,31.235699"
大华银行,1,"121.489722,31.239233"
大田秀则画廊,1,"121.461500,31.167394"
宝龙美术馆,1,"121.359705,31.157709"
对照空间,1,"121.451423,31.212703"
小平画廊,1,"121.448995,31.247302"
尔冬强艺术中心,1,"121.469072,31.208406"
巴颜喀拉,1,"121.442211,31.214914"
平阁文化艺术空间,1,"121.501180,31.249960"
开合空间,1,"121.478299,31.205843"
开放艺术空间,1,"121.513547,31.162203"
张乐华工作室,1,"121.459830,31.209545"
徐汇万科中心,1,"121.431547,31.157125"
徐汇滨江规划展示中心,1,"121.470710,31.188410"
徐震专卖店,1,"121.458400,31.168110"
德国驻上海总领事馆文化教育处,1,"121.484157,31.234838"
慈艺画廊,1,"121.447781,31.189919"
新复原2009艺术空间,1,"121.388512,31.190686"
新晋界艺术空间,1,"121.455000,31.227165"
无形画廊,1,"121.423367,31.160947"
昊美术馆,1,"121.625990,31.212178"
明圆当代美术馆,1,"121.458391,31.290855"
晋思,1,"121.474410,31.220251"
晴日堂,1,"121.449997,31.219227"
梅子艺廊,1,"121.458141,31.228045"
比翼艺术中心,1,"121.449490,31.247619"
海鲸画廊,1,"121.460462,31.214176"
爱马仕之家,1,"121.476028,31.223615"
留下空间,1,"121.464397,31.208875"
益丰外滩源,1,"121.488421,31.240416"
知己画廊,1,"121.524449,31.293692"
索美M50艺术空间,1,"121.448814,31.247945"
红寨当代艺术画廊(M50),1,"121.449076,31.247566"
红果树画廊,1,"121.447501,31.248420"
绅公馆,1,"121.433128,31.210779"
老码头,1,"121.506094,31.219447"
至美空间,1,"121.487760,31.257859"
艮上,1,"121.450459,31.202883"
艺安空间,1,"121.447650,31.248300"
芮欧百货,1,"121.447716,31.223313"
西部M50,1,"121.379523,31.277573"
设季荟.拉法耶艺术设计中心,1,"121.475942,31.216444"
豪派画廊,1,"121.525346,31.293984"
资本画廊,1,"121.371570,31.112263"
邑画廊,1,"121.448814,31.247945"
金门大酒店,1,"121.472664,31.234236"
陆家嘴中心绿地观景篷,1,"121.495697,31.238331"
陶艺后援会,1,"121.525346,31.293984"
雅巢画廊,1,"121.449076,31.247566"
静安嘉里中心南区B1艺术空间,1,"121.450791,31.224506"
香海画廊,1,"121.449076,31.247566"
黎画廊,1,"121.447157,31.248556"
