froma,fromb,toa,tob
121.381709,31.112813,121.418021,31.009156
123.429440,41.835441,121.418021,31.009156
115.374564,33.257013,121.418021,31.009156
111.765617,40.817498,121.418021,31.009156
118.544360,33.011971,121.418021,31.009156
123.918186,47.354348,121.418021,31.009156
116.521854,31.733699,121.418021,31.009156
104.066541,30.572269,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
116.999932,32.625478,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
118.506759,31.670452,121.418021,31.009156
118.275198,33.963232,121.418021,31.009156
117.227239,31.820586,121.418021,31.009156
121.181615,31.871173,121.418021,31.009156
121.341970,30.741991,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
121.544379,31.221517,121.362290,31.182868
121.381709,31.112813,121.362290,31.182868
116.766299,33.915477,121.362290,31.182868
121.437866,31.199190,121.362290,31.182868
121.459384,31.247105,121.362290,31.182868
105.283992,27.302589,121.362290,31.182868
119.034725,33.631893,121.362290,31.182868
121.381709,31.112813,121.362290,31.182868
121.469240,31.229860,121.362290,31.182868
121.505133,31.264600,121.362290,31.182868
121.437866,31.199190,121.362290,31.182868
119.221611,34.596653,121.362290,31.182868
121.381709,31.112813,121.362290,31.182868
119.922796,28.467630,121.362290,31.182868
121.459384,31.247105,121.362290,31.182868
113.625368,34.746599,121.362290,31.182868
112.571997,26.893230,121.362290,31.182868
111.007528,35.026412,121.362290,31.182868
121.473701,31.230416,121.418021,31.009156
121.469240,31.229860,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
121.459384,31.247105,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
115.406862,31.798378,121.418021,31.009156
121.459384,31.247105,121.418021,31.009156
121.424624,31.220367,121.418021,31.009156
86.174633,41.725892,121.418021,31.009156
121.459384,31.247105,121.418021,31.009156
121.437866,31.199190,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
123.918186,47.354348,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
113.916902,30.924568,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
121.397417,31.623587,121.418021,31.009156
121.459384,31.247105,121.418021,31.009156
119.412966,32.394210,121.418021,31.009156
119.960076,30.048692,121.418021,31.009156
111.698497,29.031673,121.418021,31.009156
121.381709,31.112813,121.418021,31.009156
112.528321,32.990833,121.418021,31.009156
121.227747,31.032243,121.196003,31.061073
121.227747,31.032243,121.196003,31.061073
